店名,地址,電話,評分,鏈接,評論
榕 RON Xinyi,https://www.google.com/maps/place/%E6%A6%95+RON+Xinyi/data=!4m7!3m6!1s0x3442abca10c6d60d:0x7d87ed75a31f0ad3!8m2!3d25.03222!4d121.5589026!16s%2Fg%2F11f10dzn2f!19sChIJDdbGEMqrQjQR0wofo3Xth30?authuser=0&hl=zh-TW&rclk=1
榕 RON Xinyi,https://www.google.com/maps/place/%E6%A6%95+RON+Xinyi/data=!4m7!3m6!1s0x3442abca10c6d60d:0x7d87ed75a31f0ad3!8m2!3d25.03222!4d121.5589026!16s%2Fg%2F11f10dzn2f!19sChIJDdbGEMqrQjQR0wofo3Xth30?authuser=0&hl=zh-TW&rclk=1
榕 RON Xinyi·開啟過的連結,https://www.google.com/maps/place/%E6%A6%95+RON+Xinyi/data=!4m7!3m6!1s0x3442abca10c6d60d:0x7d87ed75a31f0ad3!8m2!3d25.03222!4d121.5589026!16s%2Fg%2F11f10dzn2f!19sChIJDdbGEMqrQjQR0wofo3Xth30?authuser=0&hl=zh-TW&rclk=1
榕 RON Xinyi,https://www.google.com/maps/place/%E6%A6%95+RON+Xinyi/data=!4m7!3m6!1s0x3442abca10c6d60d:0x7d87ed75a31f0ad3!8m2!3d25.03222!4d121.5589026!16s%2Fg%2F11f10dzn2f!19sChIJDdbGEMqrQjQR0wofo3Xth30?authuser=0&hl=zh-TW&rclk=1
榕 RON Xinyi·開啟過的連結,https://www.google.com/maps/place/%E6%A6%95+RON+Xinyi/data=!4m7!3m6!1s0x3442abca10c6d60d:0x7d87ed75a31f0ad3!8m2!3d25.03222!4d121.5589026!16s%2Fg%2F11f10dzn2f!19sChIJDdbGEMqrQjQR0wofo3Xth30?authuser=0&hl=zh-TW&rclk=1
來吧台北日式餐酒館-酒吧調酒暢飲 taipeibar 約會餐廳 必訪信義區酒吧 PTT Dcard 台北酒吧 台北餐酒館 taipeifood 國父紀念館酒吧 國父紀念館餐酒館 大安酒吧 信義區餐酒館 信義區暢飲,https://www.google.com/maps/place/%E4%BE%86%E5%90%A7%E5%8F%B0%E5%8C%97%E6%97%A5%E5%BC%8F%E9%A4%90%E9%85%92%E9%A4%A8-%E9%85%92%E5%90%A7%E8%AA%BF%E9%85%92%E6%9A%A2%E9%A3%B2+taipeibar+%E7%B4%84%E6%9C%83%E9%A4%90%E5%BB%B3+%E5%BF%85%E8%A8%AA%E4%BF%A1%E7%BE%A9%E5%8D%80%E9%85%92%E5%90%A7+PTT+Dcard+%E5%8F%B0%E5%8C%97%E9%85%92%E5%90%A7+%E5%8F%B0%E5%8C%97%E9%A4%90%E9%85%92%E9%A4%A8+taipeifood+%E5%9C%8B%E7%88%B6%E7%B4%80%E5%BF%B5%E9%A4%A8%E9%85%92%E5%90%A7+%E5%9C%8B%E7%88%B6%E7%B4%80%E5%BF%B5%E9%A4%A8%E9%A4%90%E9%85%92%E9%A4%A8+%E5%A4%A7%E5%AE%89%E9%85%92%E5%90%A7+%E4%BF%A1%E7%BE%A9%E5%8D%80%E9%A4%90%E9%85%92%E9%A4%A8+%E4%BF%A1%E7%BE%A9%E5%8D%80%E6%9A%A2%E9%A3%B2/data=!4m7!3m6!1s0x3442abc8427f83f9:0xccfd27fe730ad56d!8m2!3d25.0371557!4d121.5579345!16s%2Fg%2F11dfjy7p66!19sChIJ-YN_QsirQjQRbdUKc_4n_cw?authuser=0&hl=zh-TW&rclk=1
榕 RON Xinyi,https://www.google.com/maps/place/%E6%A6%95+RON+Xinyi/data=!4m7!3m6!1s0x3442abca10c6d60d:0x7d87ed75a31f0ad3!8m2!3d25.03222!4d121.5589026!16s%2Fg%2F11f10dzn2f!19sChIJDdbGEMqrQjQR0wofo3Xth30?authuser=0&hl=zh-TW&rclk=1,
榕 RON Xinyi·開啟過的連結,https://www.google.com/maps/place/%E6%A6%95+RON+Xinyi/data=!4m7!3m6!1s0x3442abca10c6d60d:0x7d87ed75a31f0ad3!8m2!3d25.03222!4d121.5589026!16s%2Fg%2F11f10dzn2f!19sChIJDdbGEMqrQjQR0wofo3Xth30?authuser=0&hl=zh-TW&rclk=1,
來吧台北日式餐酒館-酒吧調酒暢飲 taipeibar 約會餐廳 必訪信義區酒吧 PTT Dcard 台北酒吧 台北餐酒館 taipeifood 國父紀念館酒吧 國父紀念館餐酒館 大安酒吧 信義區餐酒館 信義區暢飲,https://www.google.com/maps/place/%E4%BE%86%E5%90%A7%E5%8F%B0%E5%8C%97%E6%97%A5%E5%BC%8F%E9%A4%90%E9%85%92%E9%A4%A8-%E9%85%92%E5%90%A7%E8%AA%BF%E9%85%92%E6%9A%A2%E9%A3%B2+taipeibar+%E7%B4%84%E6%9C%83%E9%A4%90%E5%BB%B3+%E5%BF%85%E8%A8%AA%E4%BF%A1%E7%BE%A9%E5%8D%80%E9%85%92%E5%90%A7+PTT+Dcard+%E5%8F%B0%E5%8C%97%E9%85%92%E5%90%A7+%E5%8F%B0%E5%8C%97%E9%A4%90%E9%85%92%E9%A4%A8+taipeifood+%E5%9C%8B%E7%88%B6%E7%B4%80%E5%BF%B5%E9%A4%A8%E9%85%92%E5%90%A7+%E5%9C%8B%E7%88%B6%E7%B4%80%E5%BF%B5%E9%A4%A8%E9%A4%90%E9%85%92%E9%A4%A8+%E5%A4%A7%E5%AE%89%E9%85%92%E5%90%A7+%E4%BF%A1%E7%BE%A9%E5%8D%80%E9%A4%90%E9%85%92%E9%A4%A8+%E4%BF%A1%E7%BE%A9%E5%8D%80%E6%9A%A2%E9%A3%B2/data=!4m7!3m6!1s0x3442abc8427f83f9:0xccfd27fe730ad56d!8m2!3d25.0371557!4d121.5579345!16s%2Fg%2F11dfjy7p66!19sChIJ-YN_QsirQjQRbdUKc_4n_cw?authuser=0&hl=zh-TW&rclk=1,
Escape Bar｜台北酒吧｜信義區酒吧｜台北餐酒館｜信義區餐酒館｜台北信義區B,https://www.google.com/maps/place/Escape+Bar%EF%BD%9C%E5%8F%B0%E5%8C%97%E9%85%92%E5%90%A7%EF%BD%9C%E4%BF%A1%E7%BE%A9%E5%8D%80%E9%85%92%E5%90%A7%EF%BD%9C%E5%8F%B0%E5%8C%97%E9%A4%90%E9%85%92%E9%A4%A8%EF%BD%9C%E4%BF%A1%E7%BE%A9%E5%8D%80%E9%A4%90%E9%85%92%E9%A4%A8%EF%BD%9C%E5%8F%B0%E5%8C%97%E4%BF%A1%E7%BE%A9%E5%8D%80B/data=!4m7!3m6!1s0x3442ab6a15374dd7:0x6cd342cae6635ce3!8m2!3d25.0320572!4d121.5580747!16s%2Fg%2F11kpldjvyp!19sChIJ1003FWqrQjQR41xj5spC02w?authuser=0&hl=zh-TW&rclk=1,"┇IG：ypj__0316┇
-
#蒜油鮮蝦義大利麵 ᴺᵀ³²⁰
#網紅蛋包飯 ᴺᵀ³⁶⁰
#台式拼盤 ᴺᵀ⁴⁸⁰
#生蠔 ᴺᵀ¹⁵⁰
#WAT ᴺᵀ²⁵⁰
#SAM ᴺᵀ³⁵⁰
#JENNIFER ᴺᵀ³⁵⁰

私心推薦我的愛店🍺
位於信義區新開的酒吧 離101距離很近
絕對是聖誕節、跨年與好友相聚
情人約會的好地方🥰
還記得那天點了兩份主餐一份拼盤！🍚
份量多用料很實在🤤

網美蛋包飯 師傅製作好後
會上桌在客人面前撒上香料 淋上醬汁後切開
整個蛋包飯的香味直接擴散開來！🍳
蒜油鮮蝦義大利麵 蝦子超大隻🦐
不是一般外面的那種小蝦仁
義大利麵的醬汁也是完美融合在整份餐點中
讓人大快朵頤🍝
特別的是這邊不只有常見的炸物拼盤
竟然還有香腸與鹹豬肉合體的台式拼盤
讓喜歡吃台式料理的我
多了一道很棒的下酒菜
肉質軟嫩、海鮮新鮮 超下飯🦞

不馬虎的料理 搭配不馬虎的酒水
除非一般常見的酒類以外
這邊非常推薦一隻WAT精釀啤酒
有檸檬茶跟蘋果紅茶的口味
喝起來沒什麼酒味 真的像飲料很好喝
酒單也特別 以老闆、朋友命名的調酒
每杯都有不同的風味
這次喝了SAM跟JENNIFER
下次一定要慢慢把所有特調都喝過一輪🥃

非常推薦大家可以跟三五好友來ESCAPE
第一次來就在這待蠻久的🍻
現代風環境 位置舒服寬敞🫶🏻
老闆們還會下來一起聊天玩樂
偶爾會有DJ來這邊放歌🎵
整個有很棒的快樂氛圍

❗️跨年派對❗️
步行20秒可以看到101煙火
指定調酒&啤酒&SHOT無限暢飲
20:00-01:00暢飲5小時ɴᴛ1200
01:00-05:00暢飲4小時ɴᴛ1000
座位數量有限 建議提早訂位
(🉑️私訊IG小盒子)

-
#潔の食 #潔ᴱᴬᵀ台北
#escape餐酒館 #escapetpc
#escape #escape酒吧 #escapebar
#餐酒館 #台北餐酒館 #信義區餐酒館
#酒吧 #台北酒吧 #信義區酒吧
#台北美食 #信義區美食
#食記 #相機先食 #手機先食
──────────────────── | 杯具與環境非常舒服，酸甜感舒服宜人，香氣到口感到口味與整杯酒喝完的時間節奏都很剛好 | 給一星都嫌太高，半夜三四點仍然大聲喧嘩，嚴重影響住戶安寧，走廊一堆煙蒂，造成環境髒亂 | 凌晨三點，十幾人在騎樓大聲吵鬧
你們酒吧都不管一下嗎？樓上都是住户耶😊 … | 每到假日騎樓外站一堆人，然後吵到不行
請問店家不知道附近是很多住宅嗎？
完全沒顧及過居民的感受耶😄
大家都不用睡覺了是不是😉
真的好棒👍🏻完全將沒品德發揮得淋漓盡致👍🏻 | 台北又多一個可以跟朋友聚會的地方~
除了小酌之外還有好吃的餐點，重點是店員都超帥!眼睛也不會餓到~推爆啦!只能說escape全方位照料你的需求，老闆有球必硬^_^想跟他喝酒也可以吶~~ | 酒很有水準，氣氛跟bartender 都是一時之選、大！推！ | 老闆人超nice～～～
調酒好喝 🩵
大推推喲！！！！！！！！ | 調酒好喝 店員人都很nice | 老闆們都超耐斯！！有型又好聊！！還可以慶生😍😍😍😍👍"
榕 RON Xinyi,https://www.google.com/maps/place/%E6%A6%95+RON+Xinyi/data=!4m7!3m6!1s0x3442abca10c6d60d:0x7d87ed75a31f0ad3!8m2!3d25.03222!4d121.5589026!16s%2Fg%2F11f10dzn2f!19sChIJDdbGEMqrQjQR0wofo3Xth30?authuser=0&hl=zh-TW&rclk=1,
榕 RON Xinyi·開啟過的連結,https://www.google.com/maps/place/%E6%A6%95+RON+Xinyi/data=!4m7!3m6!1s0x3442abca10c6d60d:0x7d87ed75a31f0ad3!8m2!3d25.03222!4d121.5589026!16s%2Fg%2F11f10dzn2f!19sChIJDdbGEMqrQjQR0wofo3Xth30?authuser=0&hl=zh-TW&rclk=1,
來吧台北日式餐酒館-酒吧調酒暢飲 taipeibar 約會餐廳 必訪信義區酒吧 PTT Dcard 台北酒吧 台北餐酒館 taipeifood 國父紀念館酒吧 國父紀念館餐酒館 大安酒吧 信義區餐酒館 信義區暢飲,https://www.google.com/maps/place/%E4%BE%86%E5%90%A7%E5%8F%B0%E5%8C%97%E6%97%A5%E5%BC%8F%E9%A4%90%E9%85%92%E9%A4%A8-%E9%85%92%E5%90%A7%E8%AA%BF%E9%85%92%E6%9A%A2%E9%A3%B2+taipeibar+%E7%B4%84%E6%9C%83%E9%A4%90%E5%BB%B3+%E5%BF%85%E8%A8%AA%E4%BF%A1%E7%BE%A9%E5%8D%80%E9%85%92%E5%90%A7+PTT+Dcard+%E5%8F%B0%E5%8C%97%E9%85%92%E5%90%A7+%E5%8F%B0%E5%8C%97%E9%A4%90%E9%85%92%E9%A4%A8+taipeifood+%E5%9C%8B%E7%88%B6%E7%B4%80%E5%BF%B5%E9%A4%A8%E9%85%92%E5%90%A7+%E5%9C%8B%E7%88%B6%E7%B4%80%E5%BF%B5%E9%A4%A8%E9%A4%90%E9%85%92%E9%A4%A8+%E5%A4%A7%E5%AE%89%E9%85%92%E5%90%A7+%E4%BF%A1%E7%BE%A9%E5%8D%80%E9%A4%90%E9%85%92%E9%A4%A8+%E4%BF%A1%E7%BE%A9%E5%8D%80%E6%9A%A2%E9%A3%B2/data=!4m7!3m6!1s0x3442abc8427f83f9:0xccfd27fe730ad56d!8m2!3d25.0371557!4d121.5579345!16s%2Fg%2F11dfjy7p66!19sChIJ-YN_QsirQjQRbdUKc_4n_cw?authuser=0&hl=zh-TW&rclk=1,
Escape Bar｜台北酒吧｜信義區酒吧｜台北餐酒館｜信義區餐酒館｜台北信義區B,https://www.google.com/maps/place/Escape+Bar%EF%BD%9C%E5%8F%B0%E5%8C%97%E9%85%92%E5%90%A7%EF%BD%9C%E4%BF%A1%E7%BE%A9%E5%8D%80%E9%85%92%E5%90%A7%EF%BD%9C%E5%8F%B0%E5%8C%97%E9%A4%90%E9%85%92%E9%A4%A8%EF%BD%9C%E4%BF%A1%E7%BE%A9%E5%8D%80%E9%A4%90%E9%85%92%E9%A4%A8%EF%BD%9C%E5%8F%B0%E5%8C%97%E4%BF%A1%E7%BE%A9%E5%8D%80B/data=!4m7!3m6!1s0x3442ab6a15374dd7:0x6cd342cae6635ce3!8m2!3d25.0320572!4d121.5580747!16s%2Fg%2F11kpldjvyp!19sChIJ1003FWqrQjQR41xj5spC02w?authuser=0&hl=zh-TW&rclk=1,"┇IG：ypj__0316┇
-
#蒜油鮮蝦義大利麵 ᴺᵀ³²⁰
#網紅蛋包飯 ᴺᵀ³⁶⁰
#台式拼盤 ᴺᵀ⁴⁸⁰
#生蠔 ᴺᵀ¹⁵⁰
#WAT ᴺᵀ²⁵⁰
#SAM ᴺᵀ³⁵⁰
#JENNIFER ᴺᵀ³⁵⁰

私心推薦我的愛店🍺
位於信義區新開的酒吧 離101距離很近
絕對是聖誕節、跨年與好友相聚
情人約會的好地方🥰
還記得那天點了兩份主餐一份拼盤！🍚
份量多用料很實在🤤

網美蛋包飯 師傅製作好後
會上桌在客人面前撒上香料 淋上醬汁後切開
整個蛋包飯的香味直接擴散開來！🍳
蒜油鮮蝦義大利麵 蝦子超大隻🦐
不是一般外面的那種小蝦仁
義大利麵的醬汁也是完美融合在整份餐點中
讓人大快朵頤🍝
特別的是這邊不只有常見的炸物拼盤
竟然還有香腸與鹹豬肉合體的台式拼盤
讓喜歡吃台式料理的我
多了一道很棒的下酒菜
肉質軟嫩、海鮮新鮮 超下飯🦞

不馬虎的料理 搭配不馬虎的酒水
除非一般常見的酒類以外
這邊非常推薦一隻WAT精釀啤酒
有檸檬茶跟蘋果紅茶的口味
喝起來沒什麼酒味 真的像飲料很好喝
酒單也特別 以老闆、朋友命名的調酒
每杯都有不同的風味
這次喝了SAM跟JENNIFER
下次一定要慢慢把所有特調都喝過一輪🥃

非常推薦大家可以跟三五好友來ESCAPE
第一次來就在這待蠻久的🍻
現代風環境 位置舒服寬敞🫶🏻
老闆們還會下來一起聊天玩樂
偶爾會有DJ來這邊放歌🎵
整個有很棒的快樂氛圍

❗️跨年派對❗️
步行20秒可以看到101煙火
指定調酒&啤酒&SHOT無限暢飲
20:00-01:00暢飲5小時ɴᴛ1200
01:00-05:00暢飲4小時ɴᴛ1000
座位數量有限 建議提早訂位
(🉑️私訊IG小盒子)

-
#潔の食 #潔ᴱᴬᵀ台北
#escape餐酒館 #escapetpc
#escape #escape酒吧 #escapebar
#餐酒館 #台北餐酒館 #信義區餐酒館
#酒吧 #台北酒吧 #信義區酒吧
#台北美食 #信義區美食
#食記 #相機先食 #手機先食
──────────────────── | 杯具與環境非常舒服，酸甜感舒服宜人，香氣到口感到口味與整杯酒喝完的時間節奏都很剛好 | 給一星都嫌太高，半夜三四點仍然大聲喧嘩，嚴重影響住戶安寧，走廊一堆煙蒂，造成環境髒亂 | 凌晨三點，十幾人在騎樓大聲吵鬧
你們酒吧都不管一下嗎？樓上都是住户耶😊 … | 每到假日騎樓外站一堆人，然後吵到不行
請問店家不知道附近是很多住宅嗎？
完全沒顧及過居民的感受耶😄
大家都不用睡覺了是不是😉
真的好棒👍🏻完全將沒品德發揮得淋漓盡致👍🏻 | 台北又多一個可以跟朋友聚會的地方~
除了小酌之外還有好吃的餐點，重點是店員都超帥!眼睛也不會餓到~推爆啦!只能說escape全方位照料你的需求，老闆有球必硬^_^想跟他喝酒也可以吶~~ | 酒很有水準，氣氛跟bartender 都是一時之選、大！推！ | 老闆人超nice～～～
調酒好喝 🩵
大推推喲！！！！！！！！ | 調酒好喝 店員人都很nice | 老闆們都超耐斯！！有型又好聊！！還可以慶生😍😍😍😍👍"
Twilight 餐酒館｜大安區酒吧｜信義安和酒吧｜,https://www.google.com/maps/place/Twilight+%E9%A4%90%E9%85%92%E9%A4%A8%EF%BD%9C%E5%A4%A7%E5%AE%89%E5%8D%80%E9%85%92%E5%90%A7%EF%BD%9C%E4%BF%A1%E7%BE%A9%E5%AE%89%E5%92%8C%E9%85%92%E5%90%A7%EF%BD%9C/data=!4m7!3m6!1s0x3442ab7644678811:0x184a2c94c472e80e!8m2!3d25.0329995!4d121.555005!16s%2Fg%2F11vkl47ps9!19sChIJEYhnRHarQjQRDuhyxJQsShg?authuser=0&hl=zh-TW&rclk=1,"餐廳位置不多，主要為高腳椅區及一般桌型，這次預約二位，分配高腳椅區，位置不太舒適，所以待沒多久用餐完畢就離開了。餐點若是參考份量，覺得稍微價高，但上菜速度滿快，這點倒是滿好的。 | 剛好遇到萬聖節🎃店裡都有裝扮
這間食物不錯 我覺得份量也夠
酒的部份蠻推煙花🎆有我愛的rum+紫蘇+梅酒🥂
只可惜只有限時兩個小時🥹🥹🥹還有高腳椅蠻不好坐的…..
不過還是可以回訪👍🏻👍🏻👍🏻 | 🔍IG：jiabaobao_foodie

捷運紅線信義安和站4號出口出來直走2分鐘

微昏暗的燈光很有情調 整體氛圍很舒服
下班與朋友小聚、小酌或是約會都好適合 ⸜♡⸝‍

等待餐點的時候竟然還有開胃飲品可以享用
當天提供的是抹茶優格～很好喝🍵✨

૭ 鱈魚塔塔迷你割包 $𝟯𝟮𝟬
૭ 鱸魚佐蒜辣檸檬油醋 $𝟯𝟴𝟬
૭ 羅勒蒜香蘑菇雞 $𝟯𝟴𝟬
૭ 自製蒜辣XO醬干貝蟹肉義大利麵 $𝟰𝟮𝟬
૭ 羅勒鮮蝦奶油燉飯 $𝟰𝟲𝟬

不論是前菜或是主食都無雷 我私心最推薦干貝義大利麵🍝
辣度很夠勁又夠味 麵體偏硬咬起來很有口感
大顆干貝熟度恰到好處 配上蟹肉和些許蔬菜 又涮嘴又好吃

鱈魚塔塔割包的塔塔醬也很香🥺
不知道大家有沒有吃過摩斯的鱈魚堡
那個香氣真的一模一樣阿我真的超愛的
鱸魚的外皮煎至酥香脆 魚肉軟嫩
搭配蒜辣洋蔥再擠上檸檬很清爽🍋

喜歡燉飯帶有米心感的 Twilight家的燉飯你會很喜歡🫶🏻
這次吃的青醬口味 調味上偏淡雅一些 五隻剝好的蝦子很加分蘑菇雞的調味超下飯
去骨雞腿肉整個吸飽飽醬汁非常入味 .ᐟ.ᐟ

૭ 煙花 $𝟰𝟬𝟬
紫蘇｜梅酒｜蘭姆酒
૭ 歲月靜好 $𝟯𝟴𝟬
伯爵茶｜桃子｜葡萄柚
૭ 春日圓舞曲 $𝟯𝟲𝟬
烏龍茶｜柚子｜紅心芭樂

想要來杯浮誇的調酒就點一杯煙花吧💥
紫蘇的香氣非常鮮明、濃烈
春日圓舞曲是紅心芭樂搭配烏龍茶 果香與茶香的融合
芭樂香氣很足 不會有奇怪的香精味🥺
歲月靜好以伯爵茶入酒 喝起來有水果茶的感覺
喜歡茶酒的可以試試看這杯
三杯調酒酒感都中偏輕 喝起來順口～

🔺平日低消 $𝟲𝟬𝟬/人
🔺假日低消 $𝟴𝟬𝟬/人 (12歲以下孩童不需低消） | 本想衝著調酒喝到飽的方案奔去，可惜9月底活動已經結束，只試喝了5杯調酒，每個酒名酒語都洽如其份，例如酒名煙花，燦爛一剎那，可惜無法嚐遍每一杯…… | 這家餐酒館是約會的絕佳選擇👍環境優雅浪漫，燈光柔和，音樂輕柔，營造出溫馨愉悅的氛圍。菜品美味精緻，搭配的紅酒也非常出色，讓每一口都充滿了驚喜與滿足。服務人員親切且專業，讓整個用餐過程更加愉快。這裡的每一個細節都展現出對顧客的關懷和用心，非常適合情侶來這裡享受美好的晚餐和彼此的陪伴。強烈推薦給想要度過一個難忘約會夜晚的朋友們❤️❤️❤️ | 調酒偏甜，要$990喝到飽菜單需要另外跟店員要；餐點中等以上，上菜非常快，兩個小時需離開。老闆很客氣請了壽星喝shot。 | 整個空間以大面積的白色為主，燈光溫暖如日出的光線，營造出舒適的用餐氛圍。店內有座位區、吧台和高腳區，高腳區的桌面較小，稍顯擁擠，因此建議先點一些餐點，等食用完再加點，店內位置有限，建議提前訂位。整體環境給人高品質感，餐點的部分也相當的精緻及美味，非常適合朋友聚會慶生～ | 店內氣氛很好，是個適合下班跟好友聊天的地方！店內人員都很親切，如果有事先訂位，桌上會有一張小卡，很可愛～
調酒的部分雖然很漂亮，不過味道普普，餐點的部分推薦烘蛋。 | 第一次來餐酒館比較難比較，低消800，餐點還不錯，松阪豬燉飯米芯煮的比較硬，酒的話我點BREEZE，帶有仙楂的香氣，朋友的整杯草莓粉很好拍，這次喝到的每杯酒 酒感都偏重，或是單純我太少喝哈哈。店內氛圍感很高級 剛進來會有迎賓果醋 離場前還有 shot杯 算是蠻特別的體驗 | 氛圍營造的超棒！
是個很讓人放鬆的地方，
適合好友談心、慶生、小酌
是個色、香、味俱全的地方❤️
超推薦奧羅拉這杯酒
好看又好喝！
隨著特製冰塊的融化
每一個時間都可以感受到不一樣的感覺！
附上的小卡帶有香味，
聞了可以讓心情放鬆一整晚🥰
食物也好吃！看起來份量不多，
但是我們兩個超級飽🤣"
榕 RON Xinyi,https://www.google.com/maps/place/%E6%A6%95+RON+Xinyi/data=!4m7!3m6!1s0x3442abca10c6d60d:0x7d87ed75a31f0ad3!8m2!3d25.03222!4d121.5589026!16s%2Fg%2F11f10dzn2f!19sChIJDdbGEMqrQjQR0wofo3Xth30?authuser=0&hl=zh-TW&rclk=1,
榕 RON Xinyi·開啟過的連結,https://www.google.com/maps/place/%E6%A6%95+RON+Xinyi/data=!4m7!3m6!1s0x3442abca10c6d60d:0x7d87ed75a31f0ad3!8m2!3d25.03222!4d121.5589026!16s%2Fg%2F11f10dzn2f!19sChIJDdbGEMqrQjQR0wofo3Xth30?authuser=0&hl=zh-TW&rclk=1,
來吧台北日式餐酒館-酒吧調酒暢飲 taipeibar 約會餐廳 必訪信義區酒吧 PTT Dcard 台北酒吧 台北餐酒館 taipeifood 國父紀念館酒吧 國父紀念館餐酒館 大安酒吧 信義區餐酒館 信義區暢飲,https://www.google.com/maps/place/%E4%BE%86%E5%90%A7%E5%8F%B0%E5%8C%97%E6%97%A5%E5%BC%8F%E9%A4%90%E9%85%92%E9%A4%A8-%E9%85%92%E5%90%A7%E8%AA%BF%E9%85%92%E6%9A%A2%E9%A3%B2+taipeibar+%E7%B4%84%E6%9C%83%E9%A4%90%E5%BB%B3+%E5%BF%85%E8%A8%AA%E4%BF%A1%E7%BE%A9%E5%8D%80%E9%85%92%E5%90%A7+PTT+Dcard+%E5%8F%B0%E5%8C%97%E9%85%92%E5%90%A7+%E5%8F%B0%E5%8C%97%E9%A4%90%E9%85%92%E9%A4%A8+taipeifood+%E5%9C%8B%E7%88%B6%E7%B4%80%E5%BF%B5%E9%A4%A8%E9%85%92%E5%90%A7+%E5%9C%8B%E7%88%B6%E7%B4%80%E5%BF%B5%E9%A4%A8%E9%A4%90%E9%85%92%E9%A4%A8+%E5%A4%A7%E5%AE%89%E9%85%92%E5%90%A7+%E4%BF%A1%E7%BE%A9%E5%8D%80%E9%A4%90%E9%85%92%E9%A4%A8+%E4%BF%A1%E7%BE%A9%E5%8D%80%E6%9A%A2%E9%A3%B2/data=!4m7!3m6!1s0x3442abc8427f83f9:0xccfd27fe730ad56d!8m2!3d25.0371557!4d121.5579345!16s%2Fg%2F11dfjy7p66!19sChIJ-YN_QsirQjQRbdUKc_4n_cw?authuser=0&hl=zh-TW&rclk=1,
